Pressure Velocity0 Velocity1 Velocity2 Viscosity0 Viscosity1 Viscosity2 Viscosity3 Viscosity4 Viscosity5 Viscosity6 Viscosity7 Viscosity8 SolidConcentration cylinderSolidConcentration Time VelocitySource0 VelocitySource1 VelocitySource2 VelocityAbsorption0 VelocityAbsorption1 VelocityAbsorption2 VelocityInterpolationErrorBound0 VelocityInterpolationErrorBound1 VelocityInterpolationErrorBound2 SolidForce0 SolidForce1 SolidForce2 SolidVelocity0 SolidVelocity1 SolidVelocity2 FSIFluidVelocity0 FSIFluidVelocity1 FSIFluidVelocity2 cylinderSolidForce0 cylinderSolidForce1 cylinderSolidForce2 cylinderSolidVelocity0 cylinderSolidVelocity1 cylinderSolidVelocity2 vtkValidPointMask arc_length Points0 Points1 Points2
7.94879e-02 2.92223e-01 2.01205e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.92223e-01 2.01205e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 2.18000e-02 3.18000e-02 2.00000e-01 0.00000e+00
7.96905e-02 2.91490e-01 2.11238e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.91490e-01 2.11238e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 2.39800e-02 3.39800e-02 2.00000e-01 0.00000e+00
7.98930e-02 2.90758e-01 2.21271e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.90758e-01 2.21271e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 2.61600e-02 3.61600e-02 2.00000e-01 0.00000e+00
8.00696e-02 2.91216e-01 -9.30901e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.91216e-01 -9.30901e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 2.83400e-02 3.83400e-02 2.00000e-01 0.00000e+00
8.02528e-02 2.89702e-01 -2.25644e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.89702e-01 -2.25644e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 3.05200e-02 4.05200e-02 2.00000e-01 0.00000e+00
8.06357e-02 2.88377e-01 4.52178e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.88377e-01 4.52178e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 3.27000e-02 4.27000e-02 2.00000e-01 0.00000e+00
8.09862e-02 2.86811e-01 3.27874e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.86811e-01 3.27874e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 3.48800e-02 4.48800e-02 2.00000e-01 0.00000e+00
8.13368e-02 2.85245e-01 2.03570e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.85245e-01 2.03570e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 3.70600e-02 4.70600e-02 2.00000e-01 0.00000e+00
8.16873e-02 2.83678e-01 7.92659e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.83678e-01 7.92659e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 3.92400e-02 4.92400e-02 2.00000e-01 0.00000e+00
8.20379e-02 2.82112e-01 -4.50380e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-02 1.00000e-02 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.82112e-01 -4.50380e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1 4.14200e-02 5.14200e-02 2.00000e-01 0.00000e+00
