Pressure Velocity0 Velocity1 Velocity2 Viscosity0 Viscosity1 Viscosity2 Viscosity3 Viscosity4 Viscosity5 Viscosity6 Viscosity7 Viscosity8 SolidConcentration cylinderSolidConcentration Time VelocitySource0 VelocitySource1 VelocitySource2 VelocityAbsorption0 VelocityAbsorption1 VelocityAbsorption2 VelocityInterpolationErrorBound0 VelocityInterpolationErrorBound1 VelocityInterpolationErrorBound2 SolidForce0 SolidForce1 SolidForce2 SolidVelocity0 SolidVelocity1 SolidVelocity2 FSIFluidVelocity0 FSIFluidVelocity1 FSIFluidVelocity2 cylinderSolidForce0 cylinderSolidForce1 cylinderSolidForce2 cylinderSolidVelocity0 cylinderSolidVelocity1 cylinderSolidVelocity2 vtkGhostLevels vtkValidPointMask arc_length Points0 Points1 Points2
8.24698e-02 2.81927e-01 -1.01884e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -5.61858e-16 -5.61858e-16 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -1.12372e-12 -1.12372e-12 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.81927e-01 -1.01885e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 4.36000e-02 5.36000e-02 2.00000e-01 0.00000e+00
8.28771e-02 2.80306e-01 -1.16182e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.01305e-15 -1.01305e-15 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -2.02611e-12 -2.02611e-12 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.80306e-01 -1.16181e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 4.57800e-02 5.57800e-02 2.00000e-01 0.00000e+00
8.33210e-02 2.78605e-01 -1.21198e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.73779e-15 -1.73779e-15 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -3.47559e-12 -3.47559e-12 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.78605e-01 -1.21199e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 4.79600e-02 5.79600e-02 2.00000e-01 0.00000e+00
8.37433e-02 2.76805e-01 -1.24772e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -2.55403e-15 -2.55403e-15 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -5.10806e-12 -5.10806e-12 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.76805e-01 -1.24772e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 5.01400e-02 6.01400e-02 2.00000e-01 0.00000e+00
8.42149e-02 2.74894e-01 -1.36929e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.11647e-15 -4.11647e-15 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -8.23294e-12 -8.23294e-12 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.74894e-01 -1.36931e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 5.23200e-02 6.23200e-02 2.00000e-01 0.00000e+00
8.47122e-02 2.72865e-01 -1.55652e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -6.94612e-15 -6.94612e-15 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -1.38922e-11 -1.38922e-11 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.72865e-01 -1.55653e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 5.45000e-02 6.45000e-02 2.00000e-01 0.00000e+00
8.52666e-02 2.70775e-01 -1.74839e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.22589e-14 -1.22589e-14 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -2.45178e-11 -2.45178e-11 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.70775e-01 -1.74839e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 5.66800e-02 6.66800e-02 2.00000e-01 0.00000e+00
8.57905e-02 2.68545e-01 -1.80208e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.98209e-14 -1.98209e-14 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -3.96417e-11 -3.96417e-11 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.68545e-01 -1.80211e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 5.88600e-02 6.88600e-02 2.00000e-01 0.00000e+00
8.63747e-02 2.66171e-01 -1.98859e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -3.69990e-14 -3.69990e-14 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -7.39980e-11 -7.39980e-11 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.66171e-01 -1.98861e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 6.10400e-02 7.10400e-02 2.00000e-01 0.00000e+00
8.69869e-02 2.63705e-01 -2.25723e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -6.89683e-14 -6.89683e-14 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -1.37937e-10 -1.37937e-10 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.63705e-01 -2.25723e-04 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 6.32200e-02 7.32200e-02 2.00000e-01 0.00000e+00
